Chemical_Substance,HF298 (kJ/mol),Uncertainty (kJ/mol),Coefficient_1 (High-temperature; T in Kelvin),Coefficient_2 (High-temperature; T in Kelvin),Coefficient_3 (High-temperature; T in Kelvin),Coefficient_4 (High-temperature; T in Kelvin),Coefficient_5 (High-temperature; T in Kelvin),Coefficient_6 (High-temperature; T in Kelvin),Coefficient_7 (High-temperature; T in Kelvin),Coefficient_1 (Low-temperature; T in Kelvin),Coefficient_2 (Low-temperature; T in Kelvin),Coefficient_3 (Low-temperature; T in Kelvin),Coefficient_4 (Low-temperature; T in Kelvin),Coefficient_5 (Low-temperature; T in Kelvin),Coefficient_6 (Low-temperature; T in Kelvin),Coefficient_7 (Low-temperature; T in Kelvin),Reference_Code,References,References_for_Additional_Information
C2H,567.4,1.5 ,3.66459586E+00,3.82189487E-03,-1.36509398E-06,2.13253692E-10,-1.23098939E-14,6.72238503E+04,3.91355399E+00,2.90180321E+00,1.32859725E-02,-2.80508233E-05,2.89300812E-08,-1.07446930E-11,6.71171170E+04,6.17234595E+00,T,KIEFER  SIDHU  KERN  XIE CHEN  HARDING 1992  NIST WEBBOOK 1999.,REF=ATCT A ; REF=SZALAY TAJTI & STANTON MOL PHYS 103; (2005);XXX
BrC2H,282.42,NaN,6.55399311E+00,3.37962726E-03,-1.18362410E-06,1.87797808E-10,-1.11059116E-14,3.17495713E+04,-8.20269727E+00,1.10795098E+00,3.21065018E-02,-6.02244383E-05,5.45400888E-08,-1.86034151E-11,3.26428366E+04,1.67414085E+01,T,MARTIN BURCAT JPC 108 (2004) 7752,No Additional Information Provided
Br2C2H,333.59,NaN,8.72858939E+00,3.86564166E-03,-1.40557002E-06,2.28856470E-10,-1.37851228E-14,3.70537064E+04,-1.22420089E+01,3.90735018E+00,2.01719356E-02,-2.29185829E-05,1.32196024E-08,-2.97657283E-12,3.82376740E+04,1.19225925E+01,T,IR(NIST) + B97-1/AUG-VTZ CALC  MARTIN BURCAT JPC 108 (2004) 7752,No Additional Information Provided
Br3C2H,144.181,NaN,1.13478698E+01,4.29311143E-03,-1.58086118E-06,2.59583491E-10,-1.57282684E-14,1.33625344E+04,-2.35492301E+01,3.77338993E+00,3.25157387E-02,-4.40715090E-05,3.06046323E-08,-8.51827665E-12,1.51034973E+04,1.38067404E+01,T,NIST WEBBOOK 2000 IR + B97-1/AUG-VTZ[]  MARTIN BURCAT JPC 108 (2004)  7752,No Additional Information Provided
Br4C2H,218.823,8.368 ,1.43466439E+01,4.59266344E-03,-1.90433791E-06,3.30906808E-10,-2.06740879E-14,2.13543342E+04,-3.30720905E+01,5.74443922E+00,3.53866220E-02,-4.56980575E-05,2.94359085E-08,-7.52371010E-12,2.33818229E+04,9.62682719E+00,A,MARTIN BURCAT JPC A 108 (2004) 7752,No Additional Information Provided
Br5C2H,41.422,NaN,1.66081581E+01,5.06290581E-03,-2.03596140E-06,3.48536490E-10,-2.15900552E-14,7.94235843E+03,-4.44034839E+01,6.69308019E+00,4.34129740E-02,-6.15643594E-05,4.36743888E-08,-1.22540346E-11,1.01402274E+04,4.11773919E+00,T,MARTIN BURCAT JPC 108 (2004) 7752,T
C2ClH,213.8,42 ,0.65309289E+01,0.34106362E-02,-0.11975370E-05,0.19036853E-09,-0.11274117E-13,0.24999035E+05,-0.94114463E+01,0.11110549E+01,0.31070093E-01,-0.56793918E-04,0.50648615E-07,-0.17112722E-10,0.25927035E+05,0.15622398E+02,TT,JANAF  MANION JPCRD 31 (2002) 123. OLD (1982) L POLYNOMIAL ADJUSTED FOR NEW HF298,J
C2ClFH,87.027,41.84 ,8.50937039E+00,4.01863606E-03,-1.45196186E-06,2.35520678E-10,-1.41529004E-14,9.20079581E+03,-1.56313584E+01,7.65226273E-01,3.63165689E-02,-5.63440044E-05,4.42113186E-08,-1.36516970E-11,1.08268804E+04,2.17621692E+01,A,G3B3 CALC,REF=NIST-94  THERGAS EST=7.51 KCAL (WRONG) PM3=28.02 KCAL AM1=29.74 KCAL
C2ClF2H,-334.0,NaN,0.99982378E+01,0.56213876E-02,-0.20890705E-05,0.34507576E-09,-0.20992736E-13,-0.43955643E+05,-0.23448017E+02,0.20480403E+01,0.29590895E-01,-0.28065357E-04,0.11297923E-07,-0.10168634E-11,-0.41870475E+05,0.17086656E+02,RUS,TSIV 79,No Additional Information Provided
C2ClF4H,-924.7,NaN,0.14310765E+02,0.77386392E-02,-0.33659964E-05,0.65591076E-09,-0.47163678E-13,-0.11665629E+06,-0.43664043E+02,0.25109331E+01,0.39611296E-01,-0.26968606E-04,-0.22740439E-08,0.64125753E-11,-0.11348471E+06,0.17136671E+02,P,NaN,No Additional Information Provided
C2Cl2FH,-168.648,NaN,1.09691500E+01,4.73571534E-03,-1.76548202E-06,2.92239127E-10,-1.78047046E-14,-2.43192990E+04,-2.66541318E+01,2.45417198E+00,3.09044162E-02,-2.99536924E-05,1.12271273E-08,-4.18205355E-13,-2.21462432E+04,1.65457942E+01,tpis,GURVICH 91 .,No Additional Information Provided
C2Cl2F3H,-743.9,NaN,0.15372216E+02,0.65536841E-02,-0.28223775E-05,0.54480973E-09,-0.38845129E-13,-0.95263745E+05,-0.49194203E+02,0.24843775E+01,0.41924396E-01,-0.29376222E-04,-0.37135096E-08,0.82904456E-11,-0.91811259E+05,0.17075157E+02,P,NaN,No Additional Information Provided
C2Cl3H,-19.1,NaN,0.10888462E+02,0.47583118E-02,-0.17617541E-05,0.29031942E-09,-0.17633485E-13,-0.60360276E+04,-0.25439709E+02,0.25996860E+01,0.34238007E-01,-0.43577745E-04,0.28199249E-07,-0.73014917E-11,-0.40688962E+04,0.15763417E+02,TT,TSIV 1979 17.5+/-3.0 KJ  MANION JPCRD 31 (2002) 123 OLD (1989) L POLYNOMIAL ADJUSTED FOR NEW HF298.,J
C2Cl4H,21.82,NaN,1.45236396E+01,4.29972946E-03,-1.77166296E-06,3.07646634E-10,-1.92515584E-14,-2.57510890E+03,-4.04511621E+01,3.15151526E+00,4.41094266E-02,-5.75511181E-05,3.73697567E-08,-9.73947933E-12,1.63836575E+02,1.62607402E+01,A,BURCAT G3B3  SKINNER & RABINOVICH BULL SOC CHIM BELG 82 (1973) 305  BURCAT G3B3,REF=THERM PROGRAM
C2Cl5H,-155.9,NaN,1.61889108E+01,6.02755857E-03,-2.52297714E-06,4.42668370E-10,-2.78828019E-14,-2.51861039E+04,-5.01366047E+01,3.85594982E+00,4.56073672E-02,-4.99565523E-05,2.45552722E-08,-3.95375908E-12,-2.20748312E+04,1.21373851E+01,A,WEBBOOK 2000 IR+BURCAT [] G3B3 CALC.,REF=J. MANION JPCRD 31;(2002);123 ; REF= KIRKBRIDE J. APPL. CHEM. 6; (1956);11-21.
C2FH,41.69,NaN,6.20949775E+00,3.69584855E-03,-1.29973578E-06,2.06830940E-10,-1.22578311E-14,2.85749388E+03,-8.93525071E+00,1.30649331E+00,2.77924488E-02,-4.86268691E-05,4.25956865E-08,-1.42675759E-11,3.74175901E+03,1.39346815E+01,tpis,GURVICH 91,REF=JANAF
C2F2H,-42.5,17.9 ,7.87499232E+00,4.77134517E-03,-1.76600789E-06,2.90903847E-10,-1.76623863E-14,-8.08846630E+03,-1.36036843E+01,3.08690083E+00,1.60213261E-02,-7.49407266E-06,-3.65234768E-09,3.19176449E-12,-6.67208283E+03,1.15973919E+01,T,ZACHARIAH  WESTMORELAND  BURGES  TSANG & MELIUS J. PHYS. CHEM. 100  (1996)  8737. .,No Additional Information Provided
C2F3H,-498.78,8.24 ,9.56303811E+00,6.03922396E-03,-2.24656246E-06,3.71316848E-10,-2.25981353E-14,-6.27202069E+04,-2.23573620E+01,2.00354119E+00,2.74140646E-02,-2.30032301E-05,7.09389407E-09,1.96148641E-13,-6.06536347E+04,1.65697402E+01,ATcT,ATCT A,REF=TRC 12/83 ; REF=GURVICH 91 ; REF=ZACHARIAH; WESTMORELAND; BURGES; TSANG & MELIUS J. PHYS. CHEM. 100; (1996);8737.
C2F5H,-1120.0,NaN,1.45281312E+01,6.80984691E-03,-2.67132939E-06,4.54433791E-10,-2.81433657E-14,-1.40296859E+05,-4.67174252E+01,2.56680624E+00,3.63877723E-02,-1.93606756E-05,-9.02362714E-09,8.52266342E-12,-1.36902027E+05,1.56968804E+01,A,BURCAT G3B3 CALC  CHEN ET AL JPCRD 4  (1975) 441  BURCAT G3B3 CALC,REF=CHEN ET AL JPCRD 4 (1975);441
C2HN,NaN,NaN,6.56314169E+00,3.48040967E-03,-1.24603080E-06,2.00764486E-10,-1.20044547E-14,7.11347086E+04,-9.86556141E+00,1.87184307E+00,2.60611314E-02,-4.62723965E-05,4.18609731E-08,-1.45352705E-11,7.20340360E+04,1.22173228E+01,RUS,GURVICH 89,No Additional Information Provided
C2HNO,44.12,NaN,6.42261995E+00,6.03502826E-03,-2.21102350E-06,3.61593143E-10,-2.18401729E-14,2.82171279E+03,-6.42840578E+00,3.63362859E+00,1.18741728E-02,-5.03742673E-06,-8.99834820E-10,1.01583787E-12,3.74108769E+03,8.57237760E+00,T,BURCAT G2B3 CALC,No Additional Information Provided
C2HNO2,278.654,NaN,9.24323493E+00,6.11883233E-03,-2.22735280E-06,3.63050837E-10,-2.18882152E-14,3.00082130E+04,-2.07147538E+01,1.34403396E+00,3.33183494E-02,-3.93939158E-05,2.41124634E-08,-5.90505390E-12,3.19357897E+04,1.87890785E+01,A,BURCAT B3LYP CALC  G3B3 CALC  POLITZER LANE CONCHA JPC A 108  (2004)  3493-98 .,No Additional Information Provided
C2HO,177.402,8.7864 ,0.58469006E+01,0.36405960E-02,-0.12959007E-05,0.20796919E-09,-0.12400022E-13,0.19248496E+05,-0.52916533E+01,0.23350118E+01,0.17010083E-01,-0.22018867E-04,0.15406447E-07,-0.43455097E-11,0.20050299E+05,0.11976729E+02,T,ENDO & HIROTA J. CHEM. PHYS. 86 (1987) 4319  OAKES  JONES  BLERBAUM & ELLISON J. PHYS. CHEM. 87 (1983) 4810,REF=ATCT A ; REF=SZALAY; TAJTI & STANTON MOL PHYS. 103;(2005);XXX
C2H2,228.2,0.8 ,4.65878489E+00,4.88396667E-03,-1.60828888E-06,2.46974544E-10,-1.38605959E-14,2.57594042E+04,-3.99838194E+00,8.08679682E-01,2.33615762E-02,-3.55172234E-05,2.80152958E-08,-8.50075165E-12,2.64289808E+04,1.39396761E+01,g,TSIV,REF=ATCT A
Br2C2H2,101.9,8. ,8.71830574E+00,6.46729755E-03,-2.32172026E-06,3.74707113E-10,-2.24292533E-14,8.95990052E+03,-1.45931197E+01,3.92133171E+00,1.60428828E-02,-1.49792112E-07,-1.49285034E-08,8.33024182E-12,1.04003743E+04,1.08945560E+01,T,PM3 MOPAC 2000 CALC  NIST 94 + THERGAS ESTIMATES.,No Additional Information Provided
Br4C2H2,53.35,NaN,1.38358129E+01,7.38994179E-03,-2.84169603E-06,4.75473782E-10,-2.90613149E-14,1.42718237E+03,-3.42538684E+01,5.78939817E+00,3.15602244E-02,-2.76651125E-05,8.64111911E-09,5.04841959E-13,3.51473595E+03,6.71486330E+00,T,G3B3LYP CALC  PM3 CALC,No Additional Information Provided
C2ClH2,262.75,NaN,6.57992662E+00,5.50498054E-03,-1.93056595E-06,3.06672838E-10,-1.81536735E-14,3.05524286E+04,-7.26735678E+00,1.75764780E+00,2.07031239E-02,-1.84481964E-05,6.31043021E-09,1.19854774E-13,3.17529714E+04,1.70686824E+01,A,BURCAT G3B3 CALC.,REF=GAO;MARSHALL ET AL 6TH INT. CONF. CHEM. KINET NIST JULY 2005 P.131 EXPER. ; REF=NIST 94
C2ClFH2,-165.393,NaN,8.38519082E+00,6.88965435E-03,-2.50358771E-06,4.07384367E-10,-2.45254671E-14,-2.31789264E+04,-1.68056385E+01,9.12415579E-01,3.11141994E-02,-3.24490541E-05,1.67416393E-08,-3.16508383E-12,-2.12920536E+04,2.09030401E+01,T,GURVICH 1979+1991   .,No Additional Information Provided
C2Cl2H2,2.2,1.4 ,8.72268524E+00,6.52268348E-03,-2.35597369E-06,3.81833999E-10,-2.29238459E-14,-3.05837782E+03,-1.79212139E+01,1.09017479E+00,3.38342476E-02,-4.14626040E-05,2.66982563E-08,-6.91176950E-12,-1.24744244E+03,1.99941222E+01,S,NIST WEBBOOK 2000  IR[] + SHIMANOUCHI. HF MANSSON ET AL J. CHEM THERM.3  (1971) 547-551. .,No Additional Information Provided
C2Cl3H2,78.62,NaN,1.28942506E+01,4.86170307E-03,-1.72031755E-06,2.75143478E-10,-1.63718689E-14,5.45317262E+03,-3.62976535E+01,8.94429907E-01,5.61578321E-02,-8.89059018E-05,6.89328575E-08,-2.07848100E-11,7.85604934E+03,2.11970392E+01,T,LIU ET AL JPC A 107(2003)  6231  ESTIMATED ACCORDING TO MELIUS AND CH3CCL3,REF=MELIUS CL72
C2F2H2,-344.0,10 ,7.93289587E+00,7.27979071E-03,-2.64144142E-06,4.29432803E-10,-2.58381152E-14,-4.36671380E+04,-1.65082325E+01,9.11680326E-01,2.66032123E-02,-1.89472374E-05,1.99409393E-09,2.41309066E-12,-4.17513190E+04,1.96907967E+01,RUS,GURVICH 1991,REF=COX & PILCHER 1970 ; REF=NEUGEBAUER & MARGRAVE JPC 60; (1956);1318
C2F3H2,NaN,NaN,0.10987821E+02,0.68153248E-02,-0.24820763E-05,0.40457086E-09,-0.24387675E-13,-0.66370037E+05,-0.29515293E+02,0.54654037E+00,0.42697217E-01,-0.49566004E-04,0.27781281E-07,-0.57577830E-11,-0.63872559E+05,0.22578365E+02,T,CHEN RAUK & TSCHUIKOW-ROUX J. CHEM. PHYS. 93 (1990) 6620 123.6 KCAL,No Additional Information Provided
C2F4H2,-913.3, 17.5 ,1.25551115E+01,8.40186071E-03,-3.12077291E-06,5.12284572E-10,-3.10110291E-14,-1.14846319E+05,-3.80374329E+01,2.29239681E+00,3.03108483E-02,-5.33713985E-06,-2.19456612E-08,1.29970288E-11,-1.11790431E+05,1.62830568E+01,T,ZACHARIAH ET AL JPC 100 (1996) 8737 EXPER VIBR. + BAC/MP4 CALC.,No Additional Information Provided
C2H2N,257.19,NaN,6.14873620E+00,6.06600240E-03,-2.17174620E-06,3.49750387E-10,-2.09004207E-14,2.86491222E+04,-6.59235995E+00,2.63064017E+00,1.73644377E-02,-1.70284117E-05,9.86551140E-09,-2.46033517E-12,2.95791691E+04,1.12776223E+01,T,MELIUS A66S  MELIUS,REF=TUMANOV DENISOV NEFTCHIMIA 44;(2004);139 ; REF=JANOSCHECK ROSSI IJCK 36;(2004);661
C2H2NO,175.619,NaN,7.26373035E+00,7.91027386E-03,-2.87373023E-06,4.67365314E-10,-2.81206990E-14,1.81836123E+04,-1.08309486E+01,2.96391901E+00,1.64646465E-02,-3.33503209E-06,-8.15626290E-09,4.80224808E-12,1.95498379E+04,1.22143247E+01,T,BURCAT G3B3 CALC .,No Additional Information Provided
C2H2NO2,177.987,NaN,9.10481741E+00,8.95969753E-03,-3.25670683E-06,5.29969111E-10,-3.19048942E-14,1.77397623E+04,-1.81425839E+01,4.25158957E+00,1.46469491E-02,9.70672093E-06,-2.46314402E-08,1.13320529E-11,1.94457826E+04,8.75950789E+00,T,BURCAT G3B3 CALC .,No Additional Information Provided
C2H2N2O4,40.953,NaN,1.65193214E+01,1.09827653E-02,-4.28160802E-06,7.24664741E-10,-4.47051889E-14,-1.84003069E+03,-5.69855940E+01,4.46008116E+00,2.38752905E-02,3.45147187E-05,-7.10366591E-08,3.20870069E-11,2.35482654E+03,9.91351088E+00,A,BURCAT G3B3 CALC,REF=NIST 94.
C2H2O,-48.579, 0.28 ,0.57577901E+01,0.63496507E-02,-0.22584407E-05,0.36208462E-09,-0.21569030E-13,-0.79786113E+04,-0.61064037E+01,0.21401165E+01,0.18088368E-01,-0.17324216E-04,0.92767477E-08,-0.19915011E-11,-0.70430509E+04,0.12198699E+02,T,MOORE & PIMENTEL JCP 38 (1963) 2816  VOGT  WILLIAMSON & BEAUCHAMP JACS 100 (1978) 3478,J
C2H2O2,-212.082,0.8 ,8.72506895E+00,6.33096819E-03,-2.35574814E-06,3.89782853E-10,-2.37486912E-14,-2.91024131E+04,-2.03903909E+01,4.68412461E+00,4.78012819E-04,4.26390768E-05,-5.79018239E-08,2.31669328E-11,-2.71985007E+04,4.51187184E+00,g,DOROFEEVA JPCRD 30 (2001) 475  SCUSERIA & SCHAEFER JACS 111  (1989) 7761 (CIS)   IAIBIC  DOROFEEVA JPCRD 30 (2001) 475 & ATCT A  ATCT A,REF=FLETCHER & PILCHER TRANS FARADAY SOC 66(1970); 794
C2H2O4,-731.8,2.0 ,1.12713463E+01,9.21013668E-03,-3.36045480E-06,5.44589862E-10,-3.26206809E-14,-9.24388026E+04,-2.98343923E+01,1.29593849E+00,4.17001626E-02,-4.49426401E-05,2.54216963E-08,-5.84215993E-12,-8.99050481E+04,2.05343663E+01,T,DOROFEEVA ET AL JPCRD 30 (2003) 475,No Additional Information Provided
C2H3,295.4,1.7 ,4.15026763E+00,7.54021341E-03,-2.62997847E-06,4.15974048E-10,-2.45407509E-14,3.38566380E+04,1.72812235E+00,3.36377642E+00,2.65765722E-04,2.79620704E-05,-3.72986942E-08,1.51590176E-11,3.44749589E+04,7.91510092E+00,ATcT,ERVIN JACS 112 (1990) 5750  ATCT A,REF=ERVIN JACS 112;(1990);5750 ALSO KROMKIN CHIMICHESKAYA FIZIKA 22;(2002);30 ; REF=RUSSELL & GUTMAN JPC 93;(1989);5184 ALSO KAISER & WALLINGTON JPC 100;(1996);4111 ALSO PARTHIBAN & MARTIN JCP 114;(2001);6014 ; REF=TSANG ENERGETICS OF ORGANIC FREE RAD 1996 ; REF=DE MOORE ET AL JPL 97-4 1997
C2H3+,1122.34,1.17 ,5.10636990E+00,6.93432850E-03,-2.51037737E-06,4.15437961E-10,-2.52447676E-14,1.32996534E+05,-4.37010064E+00,2.04325538E+00,1.91613874E-02,-2.33884102E-05,1.75610106E-08,-5.45672895E-12,1.33705367E+05,1.06437825E+01,ATcT,ATCT A .,No Additional Information Provided
BrC2H3O2,-383.5,3.1 ,1.00461497E+01,1.01587879E-02,-3.64523517E-06,5.84523562E-10,-3.47813484E-14,-5.01944638E+04,-2.10806685E+01,3.28778149E+00,2.29632669E-02,-1.48600560E-07,-1.95187664E-08,1.05257632E-11,-4.80901664E+04,1.51126493E+01,T,DOROFEEVA ET AL. JPCRD 30 (2001)  475.,No Additional Information Provided
Br3C2H3,-26.3,NaN,1.24133808E+01,8.14476767E-03,-2.94327674E-06,4.77278219E-10,-2.86681963E-14,-7.78704433E+03,-3.16562586E+01,4.62366755E+00,3.19898912E-02,-3.12395319E-05,1.61131195E-08,-3.42366464E-12,-5.71776884E+03,8.09298025E+00,T,B3LYP CALC  NIST94 EST.,No Additional Information Provided
C2ClH3,22.0,3 ,6.32341000E+00,8.52343039E-03,-3.04197672E-06,4.88915441E-10,-2.91775277E-14,1.85043273E+03,-7.74958634E+00,2.27191109E+00,1.25087140E-02,1.21343633E-05,-2.73077584E-08,1.26573716E-11,3.26236847E+03,1.47576437E+01,ATcT,GURVICH 91  ATCT A,REF=MANION JPCRD 31; (2002);123-172 ; REF=KROMKIN CHIMICHESKAYA FIZIKA 22;(2002);30
C2ClH3O2,-427.6,1.0 ,9.86255544E+00,1.03234542E-02,-3.69940268E-06,5.93409957E-10,-3.53481899E-14,-5.54766294E+04,-2.14716622E+01,3.46827272E+00,2.00080426E-02,7.43233801E-06,-2.70228098E-08,1.31588252E-11,-5.33700009E+04,1.33548825E+01,T,DOROFEEVA ET AL. JPCRD 30 (2001)  475.,No Additional Information Provided
C2Cl3H3,-144.6,0.1 ,1.20555087E+01,8.44253446E-03,-3.04587523E-06,4.93404612E-10,-2.96165491E-14,-2.19789258E+04,-3.40314769E+01,2.56424495E+00,3.93928228E-02,-4.26660423E-05,2.42267750E-08,-5.60184447E-12,-1.95749809E+04,1.38735787E+01,T,RUSCIC & BURCAT B3LYP-G3 CALCULATIONS 2004  MANION JPCRD (2002),REF=MELIUS ; REF=KOLESOV & PAPINA RUS CHEM. REV. 52 (1983);754
C2FH3,-140.1,2.5 ,5.92787061E+00,8.89384427E-03,-3.17971566E-06,5.11681548E-10,-3.05632459E-14,-1.94885049E+04,-7.04448245E+00,2.61149895E+00,6.68683582E-03,2.76818258E-05,-4.33824699E-08,1.85254269E-11,-1.80934696E+04,1.26328255E+01,RUS,GURVICH 91,REF=TRC 12/83 ; REF=KROMKIN CHIMICHESKAYA FIZIKA 22;(2002);30 ; REF=KOLESOV & PAPINA RUS JPC ENG.TRANS. 44;(1970);611-613
C2F2H3,NaN,NaN,0.79153881E+01,0.95796027E-02,-0.34798118E-05,0.56594378E-09,-0.34053931E-13,-0.39692403E+05,-0.14382963E+02,0.33232137E+01,0.16181070E-01,0.34104446E-05,-0.15893036E-07,0.75253769E-11,-0.38094855E+05,0.10888528E+02,T,CHEN  RAUK  & TSCHUIKOW-ROUX 93 1990  1187 72.3 KCAL,No Additional Information Provided
C2F3H3,-755.655,NaN,1.00540918E+01,1.02515900E-02,-3.70172133E-06,5.99863654E-10,-3.60117460E-14,-9.50222221E+04,-2.72330585E+01,1.75260632E+00,3.04395701E-02,-1.49788607E-05,-5.70775683E-09,5.66225345E-12,-9.26184281E+04,1.62401353E+01,T,G3B3LYP CALC RUSCIC & BURCAT 2004,9
C2H3I,128.876,NaN,6.44273647E+00,8.41887780E-03,-3.00447900E-06,4.82844717E-10,-2.88126081E-14,1.27974246E+04,-4.03486413E+00,2.74108792E+00,1.25141822E-02,8.60970302E-06,-2.16359126E-08,1.00821068E-11,1.40875324E+04,1.64780120E+01,A,IR WEBBOOK + [] B3LYP/6-31G  NIST 94 EST. .,No Additional Information Provided
C2H3N,74.04,0.37 ,5.09921882E+00,9.69585649E-03,-3.48051966E-06,5.61420173E-10,-3.35835856E-14,6.60967324E+03,-3.36087178E+00,3.82392803E+00,4.08201943E-03,2.16209537E-05,-2.89807789E-08,1.12962700E-11,7.44430382E+03,5.52656156E+00,T,MELIUS R4A+ SHIMANOUCHI  AN & MANSSON J CHEM THERMO 15 (1983)  287 (NIST),REF=MELIUS
C2H3NO,-45.526,NaN,7.59341176E+00,9.44576002E-03,-3.33630854E-06,5.32676082E-10,-3.16483188E-14,-9.13477281E+03,-1.33107264E+01,2.90218571E+00,1.63746784E-02,5.68147561E-06,-2.10178429E-08,1.02633942E-11,-7.58531275E+03,1.22670504E+01,T,BURCAT G3B3 CALC. .,No Additional Information Provided
C2H3NO2,29.476,NaN,9.50764347E+00,1.00845926E-02,-3.63251862E-06,5.84207205E-10,-3.48052126E-14,-2.03333938E+02,-1.92980150E+01,4.71323293E+00,1.82104447E-02,1.77781876E-06,-1.68344816E-08,8.64210464E-12,1.34399499E+03,6.62658109E+00,A,BURCAT G3B3 CALC,No Additional Information Provided
C2H3O,-10.3,1.8 ,0.53137165E+01,0.91737793E-02,-0.33220386E-05,0.53947456E-09,-0.32452368E-13,-0.36450414E+04,-0.16757558E+01,0.40358705E+01,0.87729487E-03,0.30710010E-04,-0.39247565E-07,0.15296869E-10,-0.26820738E+04,0.78617682E+01,IU,NIMLOS SODERQUIST & ELLISON JACS 111 (1989) 7675  NIIARANEN  GUTMAN & KRASNOPEROV J. PHYS. CHEM. 96 (1992) 5881.; RUSCIC ET AL JPCRD 2003,No Additional Information Provided
C2H3O+,669.952,0.85 ,5.38190942E+00,9.45572763E-03,-3.39695691E-06,5.48225731E-10,-3.28062322E-14,7.81860765E+04,-4.94235171E+00,3.31517723E+00,6.97633081E-03,1.75092244E-05,-2.69576366E-08,1.11130038E-11,7.91710835E+04,7.74260291E+00,A,B. RUSCIC ACTIVE TABLES VER 1.25 ARGONNE NAT. LABS.  THERMAL ELECTRON CONVENTION,No Additional Information Provided
C2H4,52.5,NaN,3.99182724E+00,1.04833908E-02,-3.71721342E-06,5.94628366E-10,-3.53630386E-14,4.26865851E+03,-2.69081762E-01,3.95920063E+00,-7.57051373E-03,5.70989993E-05,-6.91588352E-08,2.69884190E-11,5.08977598E+03,4.09730213E+00,g,CHAO & ZWOLINSKY  JPCRD 4 (1975) 251  TRC 4/1988,REF=ATCT A
Br2C2H4,-41.0,NaN,9.71735483E+00,1.04888147E-02,-3.76966967E-06,6.08752081E-10,-3.64504552E-14,-8.90539717E+03,-2.04307602E+01,3.77828749E+00,1.88134528E-02,9.12256669E-06,-2.83028599E-08,1.35973544E-11,-6.92491898E+03,1.20528601E+01,T,G3B3LYP CALCS.  KUDCHADKER JPCRD 8 (1979) 519-526,REF=ATCT A ; REF=BURCAT G3B3 CALC
C2ClH4,90.12,NaN,0.59979919E+01,0.11113997E-01,-0.39890576E-05,0.64350472E-09,-0.38503835E-13,0.80972298E+04,-0.45621917E+01,0.45895607E+01,0.64757653E-03,0.38470903E-04,-0.49101872E-07,0.19121765E-10,0.91898417E+04,0.61950714E+01,T,"SKINNER & RABINOVITCH  ""BOZZELLI & RITTERS PROGRAM",No Additional Information Provided
C2Cl2H4,-130.21,NaN,9.68476700E+00,1.12630298E-02,-4.31576920E-06,7.25209500E-10,-4.45818752E-14,-1.99525878E+04,-2.39965067E+01,4.68235340E+00,3.93962518E-03,5.07306234E-05,-7.03930514E-08,2.83531047E-11,-1.75372415E+04,6.96581596E+00,ATcT,G3B3LYP CALC.  ATCT A,REF=BURCAT G3B3 CALC ; REF=WEBBOOK 2003
C2Cl2H4O2,-231.375,NaN,1.55129087E+01,1.03537432E-02,-3.85668118E-06,6.37648016E-10,-3.88430532E-14,-3.39225403E+04,-5.01703472E+01,2.43416999E+00,4.58166561E-02,-3.41051998E-05,5.34704665E-09,3.11610278E-12,-3.03007573E+04,1.74771898E+01,T,LAY ET AL JPC 100 (1996) 8240,No Additional Information Provided
C2FH4,NaN,NaN,0.60065274E+01,0.11133004E-01,-0.40017964E-05,0.64613341E-09,-0.38678848E-13,-0.11429867E+05,-0.55288750E+01,0.46163442E+01,0.74570459E-03,0.37958220E-04,-0.48405526E-07,0.18830447E-10,-0.10343617E+05,0.51147332E+01,T,CHEN  RAUK & TSCHUIKOW-ROUX 1990 17.26 KCAL.,No Additional Information Provided
C2F2H4,-505.42,8 ,6.73610406E+00,1.29812933E-02,-4.62479857E-06,7.42212362E-10,-4.42411608E-14,-6.33699802E+04,-9.30130576E+00,3.12218189E+00,1.39706689E-02,1.53431350E-05,-2.94461261E-08,1.28007103E-11,-6.19286294E+04,1.15409834E+01,ATCT,G3B3 FREQ IR SPECTRA + B3LYP [],REF=WEBBOOK 2003 ; REF=BURCAT G3B3 CALC
C2H4O,-166.564,0.4 ,0.54041108E+01,0.11723059E-01,-0.42263137E-05,0.68372451E-09,-0.40984863E-13,-0.22593122E+05,-0.34807917E+01,0.47294595E+01,-0.31932858E-02,0.47534921E-04,-0.57458611E-07,0.21931112E-10,-0.21572878E+05,0.41030159E+01,L,CHAO  HALL MARSH & WILHOIT JCPRD 15  (1986) P.1369,REF=ATCT A
C2H4O2,-432.25,NaN,7.67084601E+00,1.35152602E-02,-5.25874333E-06,8.93184479E-10,-5.53180543E-14,-5.57560970E+04,-1.54677315E+01,2.78950201E+00,9.99941719E-03,3.42572245E-05,-5.09031329E-08,2.06222185E-11,-5.34752488E+04,1.41053123E+01,g,CHAO & ZWOLINSKI JPCRD 7 (1978) 363.  ATCT A,REF=ATCT A
C2H4O3,-583.0,10 ,1.27662941E+01,1.02143437E-02,-3.63547001E-06,5.83491588E-10,-3.47179974E-14,-7.53528536E+04,-3.96511752E+01,2.80443702E+00,2.10851644E-02,3.35863233E-05,-7.02669107E-08,3.26849274E-11,-7.20649998E+04,1.51180675E+01,T,DOROFEEVA JPCRD 30 (2001) 475 CALCULATED FROM ORIGINAL TABLES,No Additional Information Provided
